ca1c888d7f(12) aef133e708(15)
73abbd748e(10) e275b2f240(14)
84361cf889(12) c8c6893280(16)
84acdb3582(12) 11a587833a(12)
c664607879(15) b6bf640361(12)
2298f95454(14) ef82c31e7a(11)
1ac3c4feec(10) 79d5999f2a(10)
759d65e13e(13) 710e42eb6c(12)
21adfd4ecf(16) 9bc1c2824d(12)
2af47a0b8b(10) 3a7c37eedb(14)
860879f034(14) f239ca5846(15)
72455e4a2e(13) 7c8c4bceb8(14)
941e61fd4e(15) 4d80edac6b(14)
34fb18917e(16) f74b243b97(12)
91802acb98(11) 64c7410a4f(11)
ae4593ba77(14) f7365cca7b(14)
07df8a6597(13) 3a14ecf047(12)
6da0daadb8(12) 5dd044dcc0(10)
98cb384da7(10) d830fe68b0(10)
e2e1fce3f0(10) 8f47e63fe8(12)
adc7f80847(16) 01c31dbd3a(13)
28748ceae0(15) bc8121e9d5(12)
5286b814df(16) 3cac274046(15)
4528bb965f(13) 4df6cd7a79(16)
f16b7eba68(11) f272c7533e(14)
6ab42d47de(15) fbbf6e181c(12)
f86387658c(16) 407c3144be(11)
5a9778b2b9(10) eafe575c0c(14)
6af257b566(16) a7d3ffbbe8(11)
a5cfa627d5(11) 486a4ec810(12)
d9cc122b20(10) 63fbf85bfb(16)
393140bc62(16) 6260ba87eb(11)
d5de3460dd(13) a2ea944f06(14)
c0530185c1(10) bdbe40a62d(15)
cb19ae76b9(15) ab32b076c4(14)
a4cba90048(15) 1ac4e16599(13)
fa054f95a5(14) 6f4c009b3c(14)
c3305d3a82(16) 988885ebff(10)
980f92bbaa(10) 1c793948cd(12)
114b3e886c(12) b9c3221447(16)
69f8b6023c(12) ed6950e158(16)
ee168eecff(15) d8ab72e499(15)
7864b3eb1d(15) 2941999103(14)
212fe1e869(12) 463e036a96(11)
1bef75e97b(10) c21f1fe42f(11)
32524b9f51(15) 12a1095ddd(13)
66e86ff7b3(15) 3a72468566(10)
e39cc295cd(13) 3a0e83e0b1(13)
2d6c6a357a(14) db6c367d25(14)
1dd5d6c707(14) 45ae840f20(11)
461822f928(16) d009f2c456(12)
4e9cdd1a02(11) 63989c7307(13)
694a5fce22(15) 9e0adb200c(13)
3b360a3c2e(13) 40078c8a35(14)
